0,0.0105064

1,0.0104992

2,0.0104914

3,0.0104822

4,0.0104713

5,0.0104576

6,0.0104404

7,0.0104182

8,0.0103894

9,0.0103519

10,0.010303

11,0.0102393

12,0.0101572

13,0.0100521

14,0.00991965

15,0.00975597

16,0.0095584

17,0.0093265

18,0.00906257

19,0.0087717

20,0.00846109

21,0.00813886

22,0.00781291

23,0.00749002

24,0.00717554

25,0.00687339

26,0.00658626

27,0.00631589

28,0.00606321

29,0.00582853

30,0.00561156

31,0.00541163

32,0.00522775

33,0.00505878

34,0.00490355

35,0.00476095

36,0.00462996

37,0.00450969

38,0.00439936

39,0.00429825

40,0.00420573

41,0.00412118

42,0.00404406

43,0.0039738

44,0.00390988

45,0.00385179

46,0.00379903

47,0.00375114

48,0.00370764

49,0.00366812

50,0.00363215

51,0.00359935

52,0.00356937

53,0.00354187

54,0.00351654

55,0.00349312

56,0.00347134

57,0.00345098

58,0.00343185

59,0.00341378

60,0.00339662

61,0.00338026

62,0.00336461

63,0.00334959

64,0.00333514

65,0.00332125

66,0.00330789

67,0.00329506

68,0.00328276

69,0.00327099

70,0.00325977

71,0.0032491

72,0.003239

73,0.00322945

74,0.00322046

75,0.003212

76,0.00320406

77,0.0031966

78,0.0031896

79,0.00318302

80,0.00317683

81,0.00317098

82,0.00316544

83,0.00316018

84,0.00315515

85,0.00315033

86,0.0031457

87,0.00314121

88,0.00313687

89,0.00313263

90,0.0031285

91,0.00312445

92,0.00312047

93,0.00311656

94,0.0031127

95,0.00310888

96,0.00310511

97,0.00310137

98,0.00309766

99,0.00309398

